brand,shops,states,cities,shop_types,spellings_seen,carried_by,assessed,verdict,notes
Florsheim,3,PA,Greensburg;Johnstown;State College,In scope 2;Multigender 1,Florsheim,Harpers;Lapels;Millers of Johnstown,yes,skip,
Free Fly,3,NJ;PA,Kennett Square;Summit;Wayne,Multigender 2;In scope 1,Free Fly,John Hyatt Clothing;Out There Outfitters;Trail Creek Outfitters,yes,skip,
Fulton & Roark,3,NJ;PA,Allentown;Maplewood;Philadelphia,In scope 2;Multigender 1,Fulton & Roark,City Workshop Men's Supply Co.;Franklin & Poe;assembly88,yes,save,accessories (scent)
Howler Bros,3,NJ;PA,Allentown;Summit;Wayne,Multigender 2;In scope 1,Howler Bros,John Hyatt Clothing;Out There Outfitters;assembly88,yes,add,
Hydro Flask,3,PA,Kennett Square;Philadelphia;Wayne,Multigender 3,Hydro Flask,Out There Outfitters;Totem Brand Co.;Trail Creek Outfitters,yes,skip,
Karhu,3,NJ;PA,Philadelphia;Somerville;Wayne,Multigender 3,Karhu,Evolve Clothing Gallery;Out There Outfitters;Totem Brand Co.,yes,save,shoes only
Kinross,3,PA,Pittsburgh;State College;Warrendale,Multigender 3,Kinross;Kinross Cashmere,Harpers;Larrimor's;Oxford & Derby,yes,add,wholesale only
Magnanni,3,PA,Pittsburgh;Warrendale;Wayne,Multigender 2;In scope 1,MAGNANNI;Magnanni,Boyds;Larrimor's;Oxford & Derby,yes,save,shoes only
Malin + Goetz,3,NJ;PA,Maplewood;Philadelphia;Somerville,In scope 1;Multigender 1,(Malin+Goetz);Malin + Goetz,City Workshop Men's Supply Co.;Evolve Clothing Gallery;Franklin & Poe,no,,2 spellings merged
Martin Dingman,3,PA,Phoenixville;State College;Warrendale,Multigender 2;In scope 1,Martin Dingman,Harpers;Oxford & Derby;Weitzenkorn's,yes,add,
Michael Kors,3,PA,Greensburg;Johnstown;Pittsburgh,In scope 3,Michael Kors,Heinz Healey's;Lapels;Millers of Johnstown,yes,add,
Olukai,3,PA,Allentown;Phoenixville;Wayne,Multigender 2;In scope 1,Olukai,Out There Outfitters;Weitzenkorn's;assembly88,yes,save,shoes only
On,3,NJ;PA,Philadelphia;Somerville;Wayne,Multigender 3,On,Evolve Clothing Gallery;Out There Outfitters;Totem Brand Co.,yes,save,shoes only
Pendleton,3,NJ;PA,Far Hills;Ligonier;Malvern,In scope 3,Pendleton,Englund's Apparel for Men;Hans Clothier;Post & Rail Men's Shop,yes,add,
Pure Blue Japan,3,NJ;PA,Maplewood;Philadelphia,In scope 2;Multigender 1,Pure Blue Japan,City Workshop Men's Supply Co.;Franklin & Poe;Totem Brand Co.,yes,add,
Relwen,3,NJ;PA,Far Hills;Maplewood;Phoenixville,In scope 3,Relwen,City Workshop Men's Supply Co.;Hans Clothier;Weitzenkorn's,yes,add,check stockists
RoToTo,3,NJ;PA,Maplewood;Philadelphia,In scope 2,RoToTo;Rototo,City Workshop Men's Supply Co.;Franklin & Poe;Totem Brand Co.,no,,2 spellings merged
Schott NYC,3,PA,Allentown;Philadelphia;Phoenixville,In scope 2;Multigender 1,Schott NYC,Franklin & Poe;Weitzenkorn's;assembly88,yes,add,jackets only
Shoes Like Pottery,3,NJ;PA,Maplewood;Philadelphia,In scope 2;Multigender 1,Shoes Like Pottery,City Workshop Men's Supply Co.;Franklin & Poe;Totem Brand Co.,yes,save,shoes only
Swims,3,PA,Phoenixville;Pittsburgh;State College,Multigender 2;In scope 1,SWIMS;Swims,Harpers;Larrimor's;Weitzenkorn's,yes,add,
Tallia,3,PA,Johnstown;Pittsburgh;State College,In scope 2;Multigender 1,Tallia,Harpers;Heinz Healey's;Millers of Johnstown,yes,skip,
The North Face,3,PA,Kennett Square;Philadelphia;Wayne,Multigender 3,The North Face,Out There Outfitters;Totem Brand Co.;Trail Creek Outfitters,yes,add,
orSlow,3,NJ;PA,Maplewood;Philadelphia;Pittsburgh,Multigender 1;In scope 1,Orslow;orSlow,City Workshop Men's Supply Co.;Totem Brand Co.;Vestis,no,,2 spellings merged
Alan Paine,2,PA,Malvern;State College,Multigender 1;In scope 1,Alan Paine,Englund's Apparel for Men;Harpers,yes,skip,
Amundsen,2,NJ,Far Hills;Summit,In scope 2,Amundsen,Hans Clothier;John Hyatt Clothing,yes,add,
Astorflex,2,NJ;PA,Far Hills;Phoenixville,In scope 2,Astorflex,Hans Clothier;Weitzenkorn's,yes,save,shoes only
Avi-8,2,PA,Phoenixville,In scope 1,Avi-8;Avi8,Weitzenkorn's,no,,2 spellings merged
Beams Plus,2,PA,Philadelphia;Pittsburgh,In scope 1;Multigender 1,Beams Plus,Totem Brand Co.;Vestis,no,,
Berle,2,PA,Ligonier;Malvern,In scope 2,Berle,Englund's Apparel for Men;Post & Rail Men's Shop,no,,
Big John,2,PA,Philadelphia,In scope 1;Multigender 1,Big John,Franklin & Poe;Totem Brand Co.,no,,
Black Diamond,2,PA,Kennett Square;Wayne,Multigender 2,Black Diamond,Out There Outfitters;Trail Creek Outfitters,no,,
Bleu de Chauffe,2,NJ;PA,Maplewood;Philadelphia,In scope 2,Bleu de Chauffe,City Workshop Men's Supply Co.;Franklin & Poe,no,,
Boathouse,2,PA,Philadelphia;Wayne,Multigender 2,Boathouse,Out There Outfitters;Totem Brand Co.,no,,
C.P. Company,2,PA,Philadelphia;Pittsburgh,Multigender 2,C.P. Company,TONS;Totem Brand Co.,no,,
Castaway,2,PA,Malvern;State College,Multigender 1;In scope 1,Castaway,Englund's Apparel for Men;Harpers,no,,
Darn Tough,2,PA,Philadelphia;Wayne,Multigender 2,Darn Tough,Out There Outfitters;Totem Brand Co.,no,,
Dehen 1920,2,NJ;PA,Maplewood;Philadelphia,In scope 2,Dehen 1920,City Workshop Men's Supply Co.;Franklin & Poe,no,,
Dl 1961,2,NJ;PA,Far Hills;Phoenixville,In scope 1,Dl 1961;Dl1961,Hans Clothier;Weitzenkorn's,no,,2 spellings merged
Druthers NYC,2,NJ,Maplewood;Somerville,Multigender 1,Druthers NYC;druthers NYC,City Workshop Men's Supply Co.;Evolve Clothing Gallery,no,,2 spellings merged
East Harbour Surplus,2,NJ;PA,Maplewood;Pittsburgh,In scope 2,East Harbour Surplus,City Workshop Men's Supply Co.;Vestis,no,,
Emanuel Berg,2,PA,Pittsburgh;Wayne,In scope 1;Multigender 1,EMANUEL BERG;Emanuel Berg,Boyds;Larrimor's,no,,
Engineered Garments,2,NJ;PA,Maplewood;Philadelphia,Multigender 1;In scope 1,Engineered Garments,City Workshop Men's Supply Co.;Totem Brand Co.,no,,
Filippo De Laurentiis,2,PA,Pittsburgh;Wayne,In scope 1;Multigender 1,FILIPPO DE LAURENTIIS;Filippo De Laurentiis,Boyds;Larrimor's,no,,
Freenote Cloth,2,NJ;PA,Maplewood;Philadelphia,In scope 2,Freenote Cloth,City Workshop Men's Supply Co.;Franklin & Poe,no,,
FrizmWORKS,2,NJ;PA,Philadelphia;Somerville,Multigender 1,FrizmWORKS;FrizmWorks,Evolve Clothing Gallery;Totem Brand Co.,no,,2 spellings merged
Full Count,2,NJ;PA,Maplewood;Philadelphia,In scope 1,Full Count;Fullcount,City Workshop Men's Supply Co.;Totem Brand Co.,no,,2 spellings merged
Happy Socks,2,PA,Allentown;Pittsburgh,In scope 1;Multigender 1,Happy Socks,Heinz Healey's;assembly88,no,,
Harley of Scotland,2,PA,Pittsburgh;Warrendale,In scope 1;Multigender 1,Harley of Scotland,Oxford & Derby;Vestis,no,,
Heimat,2,NJ;PA,Maplewood;Pittsburgh,In scope 2,HEIMAT;Heimat,City Workshop Men's Supply Co.;Vestis,no,,
Herschel Supply Co.,2,NJ;PA,Allentown;Somerville,Multigender 1,Herschel Supply Co;Herschel Supply Co.,Evolve Clothing Gallery;assembly88,no,,2 spellings merged
Hestra,2,PA,Wayne,In scope 1;Multigender 1,HESTRA;Hestra,Boyds;Out There Outfitters,no,,
Hoka,2,PA,Kennett Square;Philadelphia,Multigender 2,Hoka,Totem Brand Co.;Trail Creek Outfitters,no,,
Howlin',2,NJ;PA,Maplewood;Pittsburgh,In scope 2,HOWLIN';Howlin',City Workshop Men's Supply Co.;Vestis,no,,
Imogene + Willie,2,NJ;PA,Maplewood;Philadelphia,Multigender 1;In scope 1,Imogene + Willie,City Workshop Men's Supply Co.;Totem Brand Co.,no,,
Indi + Ash,2,PA,Philadelphia;Pittsburgh,In scope 2,Indi + Ash,Franklin & Poe;Vestis,no,,
Individualized Shirts,2,PA,Newtown Square;Wayne,In scope 2,INDIVIDUALIZED SHIRTS;Individualized Shirts,Boyds;Hassis Men's Shop,no,,
Iron Heart,2,NJ;PA,Maplewood;Philadelphia,In scope 2,Iron Heart,City Workshop Men's Supply Co.;Franklin & Poe,no,,
Jackman,2,NJ;PA,Maplewood;Philadelphia,Multigender 1;In scope 1,Jackman,City Workshop Men's Supply Co.;Totem Brand Co.,no,,
Johnston & Murphy,2,PA,Greensburg;State College,Multigender 1;In scope 1,Johnston & Murphy,Harpers;Lapels,no,,
Kapital,2,PA,Philadelphia;Pittsburgh,In scope 1;Multigender 1,Kapital,Totem Brand Co.;Vestis,no,,
Keen,2,PA,Kennett Square;Philadelphia,Multigender 2,Keen,Totem Brand Co.;Trail Creek Outfitters,no,,
Knickerbocker,2,NJ;PA,Maplewood;Philadelphia,In scope 2,Knickerbocker,City Workshop Men's Supply Co.;Franklin & Poe,no,,
L.B.M. 1911,2,PA,Phoenixville;Wayne,In scope 2,L.B.M. 1911,Boyds;Weitzenkorn's,no,,
L.E.N Belts,2,PA,Pittsburgh;Wayne,In scope 1,L.E.N Belts;LEN Belts,Boyds;Larrimor's,no,,2 spellings merged
La Paz,2,NJ;PA,Asbury Park;Pittsburgh,In scope 1;Multigender 1,La Paz,New Hour Clothing;Vestis,no,,
Marni,2,NJ;PA,Pittsburgh;Somerville,Multigender 2,Marni,Evolve Clothing Gallery;TONS,no,,
Matador,2,PA,Philadelphia;Wayne,Multigender 2,Matador,Out There Outfitters;Totem Brand Co.,no,,
Maurizio Baldassari,2,PA,Pittsburgh;Wayne,In scope 1;Multigender 1,MAURIZIO BALDASSARI;Maurizio Baldassari,Boyds;Larrimor's,no,,
Melin,2,NJ;PA,Long Beach Township;Phoenixville,Multigender 1;In scope 1,Melin,Sink R Swim;Weitzenkorn's,no,,
Merrell,2,PA,Kennett Square;Wayne,Multigender 2,Merrell,Out There Outfitters;Trail Creek Outfitters,no,,
Meyer,2,PA,Pittsburgh;Warrendale,In scope 1;Multigender 1,Meyer,Heinz Healey's;Oxford & Derby,no,,
Monfrere,2,PA,Pittsburgh;Wayne,In scope 1;Multigender 1,MONFRERE;Monfrere,Boyds;Moda,no,,
OBBI Good Label,2,NJ;PA,Maplewood;Philadelphia,In scope 1,OBBI Good Label;Obbi Good Label,City Workshop Men's Supply Co.;Franklin & Poe,no,,2 spellings merged
Oliver Cabell,2,PA,Phoenixville;Warrendale,Multigender 1;In scope 1,Oliver Cabell,Oxford & Derby;Weitzenkorn's,no,,
One of These Days,2,NJ,Asbury Park;Somerville,Multigender 2,One of These Days,Evolve Clothing Gallery;New Hour Clothing,no,,
Original Madras Trading Co.,2,NJ;PA,Far Hills;Pittsburgh,In scope 1,Original Madras Trading Co;Original Madras Trading Co.,Hans Clothier;Vestis,no,,2 spellings merged
Osprey,2,PA,Kennett Square;Philadelphia,Multigender 2,Osprey,Totem Brand Co.;Trail Creek Outfitters,no,,
Patrick Assaraf,2,PA,Pittsburgh;Wayne,In scope 1;Multigender 1,PATRICK ASSARAF;Patrick Assaraf,Boyds;Larrimor's,no,,
Paul Betenly,2,PA,Pittsburgh;State College,In scope 1;Multigender 1,Paul Betenly,Harpers;Heinz Healey's,no,,
Pig & Hen,2,NJ;PA,Maplewood;Phoenixville,In scope 2,Pig & Hen,City Workshop Men's Supply Co.;Weitzenkorn's,no,,
Porter-Yoshida & Co.,2,NJ;PA,Maplewood;Philadelphia,Multigender 1;In scope 1,Porter-Yoshida & Co.,City Workshop Men's Supply Co.;Totem Brand Co.,no,,
Raen,2,NJ,Asbury Park;Far Hills,In scope 1;Multigender 1,Raen,Hans Clothier;New Hour Clothing,no,,
Red Wing Shoes,2,NJ,Far Hills;Maplewood,In scope 2,Red Wing Shoes,City Workshop Men's Supply Co.;Hans Clothier,no,,
Reigning Champ,2,NJ,Cape May;Somerville,Multigender 2,Reigning Champ,Evolve Clothing Gallery;Galvanic,no,,
Retro Brand,2,PA,Allentown;West Chester,Multigender 2,Retro Brand,Phineas Gage;assembly88,no,,
Road To Nowhere,2,NJ,Far Hills;Maplewood,In scope 1,Road To Nowhere;Road to Nowhere,City Workshop Men's Supply Co.;Hans Clothier,no,,2 spellings merged
Robert Graham,2,PA,Greensburg;State College,Multigender 1;In scope 1,Robert Graham,Harpers;Lapels,no,,
Rogue Territory,2,NJ;PA,Maplewood;Philadelphia,Multigender 1;In scope 1,Rogue Territory,City Workshop Men's Supply Co.;Totem Brand Co.,no,,
Rubirosa,2,PA,Pittsburgh;Warrendale,Multigender 2,Rubirosa,Larrimor's;Oxford & Derby,no,,
Samuel Sohn,2,PA,Newtown Square;Warrendale,In scope 1,Samuel Sohn;Samuelsohn,Hassis Men's Shop;Oxford & Derby,no,,2 spellings merged
Santoni,2,PA,Pittsburgh;Wayne,In scope 1;Multigender 1,SANTONI;Santoni,Boyds;Larrimor's,no,,
Saturdays NYC,2,NJ,Asbury Park;Somerville,Multigender 2,Saturdays NYC,Evolve Clothing Gallery;New Hour Clothing,no,,
Scott Barber,2,NJ;PA,Far Hills;Newtown,In scope 2,Scott Barber,Giovanni's Fine Fashions;Hans Clothier,no,,
Smartwool,2,PA,Philadelphia;Wayne,Multigender 2,Smartwool,Out There Outfitters;Totem Brand Co.,no,,
Smathers and Branson,2,PA,Ligonier;State College,In scope 1;Multigender 1,Smathers and Branson,Harpers;Post & Rail Men's Shop,no,,
Snow Peak,2,NJ;PA,Philadelphia;Somerville,Multigender 2,Snow Peak,Evolve Clothing Gallery;Totem Brand Co.,no,,
Spivey,2,PA,State College;Wayne,In scope 1;Multigender 1,SPIVEY;Spivey,Boyds;Harpers,no,,
StampD,2,NJ;PA,Pittsburgh;Somerville,Multigender 1,StampD;Stampd,Evolve Clothing Gallery;Moda,no,,2 spellings merged
Staud,2,NJ;PA,Cape May;Pittsburgh,Multigender 2,STAUD;Staud,Galvanic;Larrimor's,no,,
Studio D'Artisan,2,NJ;PA,Maplewood;Philadelphia,Multigender 1;In scope 1,Studio D'Artisan,City Workshop Men's Supply Co.;Totem Brand Co.,no,,
Sunski,2,PA,Phoenixville;West Chester,In scope 1;Multigender 1,Sunski,Phineas Gage;Weitzenkorn's,no,,
T. B. Phelps,2,PA,Ligonier;Pittsburgh,In scope 1,T. B. Phelps;T.B. Phelps,Heinz Healey's;Post & Rail Men's Shop,no,,2 spellings merged
TailoRed,2,PA,Johnstown;Newtown Square,In scope 1,TailoRed;Tailored,Hassis Men's Shop;Millers of Johnstown,no,,2 spellings merged
Teleria Zed,2,PA,Phoenixville;Wayne,In scope 2,TELERIA ZED;Teleria Zed,Boyds;Weitzenkorn's,no,,
The Flat Head,2,NJ;PA,Maplewood;Philadelphia,In scope 2,The Flat Head,City Workshop Men's Supply Co.;Franklin & Poe,no,,
Timex,2,PA,Philadelphia;State College,Multigender 2,Timex,Harpers;Totem Brand Co.,no,,
Torino,2,PA,State College;Warrendale,Multigender 2,Torino,Harpers;Oxford & Derby,no,,
Turtleson,2,PA,Ligonier;State College,In scope 1;Multigender 1,Turtleson,Harpers;Post & Rail Men's Shop,no,,
UES,2,NJ;PA,Maplewood;Philadelphia,In scope 2,UES,City Workshop Men's Supply Co.;Franklin & Poe,no,,
Universal Works,2,NJ;PA,Maplewood;Pittsburgh,In scope 2,Universal Works,City Workshop Men's Supply Co.;Vestis,no,,
Upstate Stock,2,PA,Philadelphia,In scope 1;Multigender 1,Upstate Stock,Franklin & Poe;Totem Brand Co.,no,,
Ursa Major,2,NJ;PA,Maplewood;Philadelphia,In scope 2,Ursa Major,City Workshop Men's Supply Co.;Franklin & Poe,no,,
Veja,2,NJ;PA,Maplewood;Wayne,In scope 2,VEJA;Veja,Boyds;City Workshop Men's Supply Co.,no,,
Velva Sheen,2,PA,Philadelphia;Pittsburgh,Multigender 1,Velva Sheen;Velva-Sheen,Totem Brand Co.;Vestis,no,,2 spellings merged
Viyella,2,PA,Ligonier;Malvern,In scope 2,Viyella,Englund's Apparel for Men;Post & Rail Men's Shop,no,,
Wood,2,PA,Ligonier;Pittsburgh,In scope 2,Wood,Heinz Healey's;Post & Rail Men's Shop,no,,
Yeti,2,PA,Philadelphia;Wayne,Multigender 2,Yeti,Out There Outfitters;Totem Brand Co.,no,,
'47 Brand,1,PA,State College,Multigender 1,'47 Brand,Harpers,no,,
04651/ A Trip In A Bag,1,PA,Wayne,In scope 1,04651/ A TRIP IN A BAG,Boyds,no,,
11.11,1,PA,Pittsburgh,In scope 1,11.11,Vestis,no,,
1st Pat-rn,1,PA,Pittsburgh,In scope 1,1st Pat-rn,Vestis,no,,
40 Colori,1,PA,Wayne,In scope 1,40 COLORI,Boyds,no,,
40 Weft,1,PA,Wayne,In scope 1,40 WEFT,Boyds,no,,
7 For All Mankind,1,PA,Newtown,In scope 1,7 For All Mankind,Giovanni's Fine Fashions,no,,
7Diamonds,1,PA,Phoenixville,In scope 1,7Diamonds,Weitzenkorn's,no,,
810s,1,PA,Philadelphia,Multigender 1,810s,Totem Brand Co.,no,,
A Hope Hemp,1,PA,Philadelphia,Multigender 1,A Hope Hemp,Totem Brand Co.,no,,
A Kind of Guise,1,PA,Pittsburgh,In scope 1,A Kind of Guise,Vestis,no,,
ADIDAS ORIGINALS x WALES BONNER,1,PA,Wayne,In scope 1,ADIDAS ORIGINALS x WALES BONNER,Boyds,no,,
Abigail Collins,1,PA,State College,Multigender 1,Abigail Collins,Harpers,no,,
About Vintage,1,PA,Phoenixville,In scope 1,About Vintage,Weitzenkorn's,no,,
Acronym,1,PA,Pittsburgh,Multigender 1,Acronym,TONS,no,,
Addison Bay,1,PA,Wayne,Multigender 1,Addison Bay,Out There Outfitters,no,,
Advisory Board Crystals,1,NJ,Somerville,Multigender 1,Advisory Board Crystals,Evolve Clothing Gallery,no,,
Aesop,1,PA,Pittsburgh,Multigender 1,Aesop,TONS,no,,
Akris Punto,1,PA,Pittsburgh,Multigender 1,Akris Punto,Larrimor's,no,,
Alan Paine Knitwear,1,PA,Warrendale,Multigender 1,Alan Paine Knitwear,Oxford & Derby,no,,
Alberto,1,PA,Pittsburgh,In scope 1,Alberto,Heinz Healey's,no,,
Alden Shoes,1,PA,Warrendale,Multigender 1,Alden Shoes,Oxford & Derby,no,,
Aldo Martins,1,PA,State College,Multigender 1,Aldo Martins,Harpers,no,,
Alero Sport,1,NJ,Far Hills,In scope 1,Alero Sport,Hans Clothier,no,,
Alessandro Gherardi,1,PA,Wayne,In scope 1,ALESSANDRO GHERARDI,Boyds,no,,
Alessandro Vitello,1,PA,Johnstown,In scope 1,Alessandro Vitello,Millers of Johnstown,no,,
Alexander Wang,1,PA,Pittsburgh,Multigender 1,Alexander Wang,TONS,no,,
Allen Edmonds,1,PA,State College,Multigender 1,Allen Edmonds,Harpers,no,,
Altra,1,PA,Kennett Square,Multigender 1,Altra,Trail Creek Outfitters,no,,
Amberjack,1,PA,Allentown,Multigender 1,Amberjack,assembly88,no,,
American Needle,1,PA,State College,Multigender 1,American Needle,Harpers,no,,
Ampal Creative,1,PA,Philadelphia,In scope 1,Ampal Creative,Franklin & Poe,no,,
And Wander,1,PA,Philadelphia,Multigender 1,And Wander,Totem Brand Co.,no,,
Anglan,1,PA,Philadelphia,Multigender 1,Anglan,Totem Brand Co.,no,,
Anine Bing,1,NJ,Cape May,Multigender 1,Anine Bing,Galvanic,no,,
Ann Demeulemeester,1,PA,Pittsburgh,Multigender 1,Ann Demeulemeester,TONS,no,,
Another Aspect,1,PA,Pittsburgh,In scope 1,Another Aspect,Vestis,no,,
Ara,1,PA,Warrendale,Multigender 1,Ara,Oxford & Derby,no,,
Arcade Belts,1,PA,Allentown,Multigender 1,Arcade Belts,assembly88,no,,
Arovescio,1,PA,Wayne,In scope 1,AROVESCIO,Boyds,no,,
Asics,1,PA,Pittsburgh,Multigender 1,Asics,TONS,no,,
Atelier Munro,1,PA,Pittsburgh,Multigender 1,Atelier Munro,Larrimor's,no,,
Aurelien,1,PA,Wayne,In scope 1,AURELIEN,Boyds,no,,
Autry,1,NJ,Cape May,Multigender 1,Autry,Galvanic,no,,
Avenue Montaigne,1,PA,Pittsburgh,Multigender 1,Avenue Montaigne,Larrimor's,no,,
Axel Arigato,1,NJ,Cape May,Multigender 1,Axel Arigato,Galvanic,no,,
B. Draddy,1,PA,State College,Multigender 1,B. Draddy,Harpers,no,,
B.Yu,1,PA,State College,Multigender 1,B.Yu,Harpers,no,,
BOB,1,PA,State College,Multigender 1,BOB,Harpers,no,,
Bags in Progress,1,PA,Philadelphia,Multigender 1,Bags in Progress,Totem Brand Co.,no,,
Bailey,1,PA,Pittsburgh,In scope 1,Bailey,Heinz Healey's,no,,
BaliYo,1,PA,Philadelphia,Multigender 1,BaliYo,Totem Brand Co.,no,,
Ballin International,1,PA,Phoenixville,In scope 1,Ballin International,Weitzenkorn's,no,,
Bandit Bandanas,1,PA,Philadelphia,Multigender 1,Bandit Bandanas,Totem Brand Co.,no,,
Bather,1,PA,Pittsburgh,In scope 1,Bather,Vestis,no,,
Beams Boy,1,PA,Philadelphia,Multigender 1,Beams Boy,Totem Brand Co.,no,,
Beast Craft Leather,1,PA,Phoenixville,In scope 1,Beast Craft Leather,Weitzenkorn's,no,,
Benchmade,1,PA,Philadelphia,Multigender 1,Benchmade,Totem Brand Co.,no,,
Benson,1,PA,Phoenixville,In scope 1,Benson,Weitzenkorn's,no,,
Big Agnes,1,PA,Philadelphia,Multigender 1,Big Agnes,Totem Brand Co.,no,,
Bigi Cravatte,1,PA,Wayne,In scope 1,BIGI CRAVATTE,Boyds,no,,
Bills Khakis,1,PA,Malvern,In scope 1,Bills Khakis,Englund's Apparel for Men,no,,
Biolite,1,PA,Philadelphia,Multigender 1,Biolite,Totem Brand Co.,no,,
Black House Academy,1,PA,Allentown,Multigender 1,Black House Academy,assembly88,no,,
Blackstone,1,PA,Warrendale,Multigender 1,Blackstone,Oxford & Derby,no,,
Blackthorn Denim,1,NJ,Maplewood,In scope 1,Blackthorn Denim,City Workshop Men's Supply Co.,no,,
Blackwing,1,PA,Philadelphia,Multigender 1,Blackwing,Totem Brand Co.,no,,
Blluemade,1,PA,Pittsburgh,In scope 1,Blluemade,Vestis,no,,
Blue 1899,1,PA,Warrendale,Multigender 1,Blue 1899,Oxford & Derby,no,,
Blue Blanket,1,PA,Philadelphia,In scope 1,Blue Blanket,Franklin & Poe,no,,
Bobby Jones,1,PA,Malvern,In scope 1,Bobby Jones,Englund's Apparel for Men,no,,
Bocara,1,PA,Pittsburgh,In scope 1,Bocara,Heinz Healey's,no,,
Bontoni,1,PA,Wayne,In scope 1,BONTONI,Boyds,no,,
Born X Raised,1,NJ,Somerville,Multigender 1,Born X Raised,Evolve Clothing Gallery,no,,
Borntostandout,1,PA,Philadelphia,Multigender 1,BORNTOSTANDOUT,Totem Brand Co.,no,,
Borriello,1,PA,Wayne,In scope 1,BORRIELLO,Boyds,no,,
Brianna Cannon,1,PA,State College,Multigender 1,Brianna Cannon,Harpers,no,,
Brighton,1,PA,Ligonier,In scope 1,Brighton,Post & Rail Men's Shop,no,,
Briglia 1949,1,PA,Wayne,In scope 1,BRIGLIA 1949,Boyds,no,,
Brochu Walker,1,PA,Pittsburgh,Multigender 1,Brochu Walker,Larrimor's,no,,
Brodie Fine Cashmere,1,PA,State College,Multigender 1,Brodie Fine Cashmere,Harpers,no,,
Brooks,1,PA,Philadelphia,Multigender 1,Brooks,Totem Brand Co.,no,,
Bruzer,1,PA,State College,Multigender 1,Bruzer,Harpers,no,,
Bugatti,1,PA,Pittsburgh,In scope 1,Bugatti,Heinz Healey's,no,,
Buzz Rickson's,1,PA,Philadelphia,In scope 1,Buzz Rickson's,Franklin & Poe,no,,
By Parra,1,NJ,Cape May,Multigender 1,By Parra,Galvanic,no,,
Byford Hosiery,1,PA,Ligonier,In scope 1,Byford Hosiery,Post & Rail Men's Shop,no,,
Byredo,1,PA,Pittsburgh,Multigender 1,Byredo,TONS,no,,
C.O.F. Studio - Circle of Friends,1,NJ,Maplewood,In scope 1,C.O.F. Studio - Circle of Friends,City Workshop Men's Supply Co.,no,,
CHUP Socks,1,NJ,Maplewood,In scope 1,CHUP Socks,City Workshop Men's Supply Co.,no,,
Camber,1,PA,Philadelphia,Multigender 1,CAMBER,Totem Brand Co.,no,,
Candier,1,PA,Allentown,Multigender 1,Candier,assembly88,no,,
Capri Designs,1,PA,State College,Multigender 1,Capri Designs,Harpers,no,,
Carve Designs,1,PA,Wayne,Multigender 1,Carve Designs,Out There Outfitters,no,,
Casheart,1,PA,Wayne,In scope 1,CASHEART,Boyds,no,,
Castaway Clothing,1,PA,Ligonier,In scope 1,Castaway Clothing,Post & Rail Men's Shop,no,,
Cause & Effect,1,PA,Pittsburgh,In scope 1,Cause & Effect,Vestis,no,,
Chalk.Press,1,PA,Philadelphia,Multigender 1,Chalk.Press,Totem Brand Co.,no,,
Chaps,1,PA,Indiana,In scope 1,Chaps,700 Shop,no,,
Charles Jeffrey Loverboy,1,PA,Pittsburgh,Multigender 1,Charles Jeffrey Loverboy,TONS,no,,
Chicago Candle Company,1,PA,Allentown,Multigender 1,Chicago Candle Company,assembly88,no,,
Christian Louboutin,1,PA,Wayne,In scope 1,CHRISTIAN LOUBOUTIN,Boyds,no,,
Christopher Lena Shirts,1,PA,Johnstown,In scope 1,Christopher Lena Shirts,Millers of Johnstown,no,,
Circolo 1901,1,PA,Pittsburgh,Multigender 1,Circolo 1901,Larrimor's,no,,
City Workshop,1,NJ,Maplewood,In scope 1,City Workshop,City Workshop Men's Supply Co.,no,,
Clara Williams,1,PA,Pittsburgh,Multigender 1,Clara Williams,Larrimor's,no,,
Clarks,1,PA,Philadelphia,Multigender 1,Clarks,Totem Brand Co.,no,,
Clarks Originals,1,NJ,Somerville,Multigender 1,Clarks Originals,Evolve Clothing Gallery,no,,
Columbia,1,PA,Kennett Square,Multigender 1,Columbia,Trail Creek Outfitters,no,,
Comme Des Garcons Homme Deux,1,PA,Wayne,In scope 1,COMME DES GARCONS HOMME DEUX,Boyds,no,,
Comme Des Garcons Play,1,PA,Wayne,In scope 1,COMME DES GARCONS PLAY,Boyds,no,,
Common Projects,1,PA,Wayne,In scope 1,COMMON PROJECTS,Boyds,no,,
Cooper & Stewart,1,PA,Ligonier,In scope 1,Cooper & Stewart,Post & Rail Men's Shop,no,,
Coperni,1,PA,Pittsburgh,Multigender 1,Coperni,TONS,no,,
Cordani,1,PA,Warrendale,Multigender 1,Cordani,Oxford & Derby,no,,
Costume National Scents,1,PA,Pittsburgh,Multigender 1,Costume National Scents,Moda,no,,
Cotopaxi,1,PA,Kennett Square,Multigender 1,Cotopaxi,Trail Creek Outfitters,no,,
Cotton Citizen,1,PA,Pittsburgh,Multigender 1,Cotton Citizen,Moda,no,,
Craft + Foster,1,NJ,Somerville,Multigender 1,Craft + Foster,Evolve Clothing Gallery,no,,
Creed,1,PA,Wayne,In scope 1,CREED,Boyds,no,,
Crew Dog,1,PA,State College,Multigender 1,Crew Dog,Harpers,no,,
Crockett & Jones,1,PA,Warrendale,Multigender 1,Crockett & Jones,Oxford & Derby,no,,
Crocs,1,PA,Philadelphia,Multigender 1,Crocs,Totem Brand Co.,no,,
Croots England,1,PA,Warrendale,Multigender 1,CROOTS ENGLAND,Oxford & Derby,no,,
