brand,shops,states,cities,shop_types,spellings_seen,carried_by,assessed,verdict,notes
Holebrook Sweden,1,PA,Warrendale,Multigender 1,Holebrook Sweden,Oxford & Derby,no,,
Hollows Leather,1,PA,Philadelphia,In scope 1,Hollows Leather,Franklin & Poe,no,,
Homefield,1,PA,State College,Multigender 1,Homefield,Harpers,no,,
Honor The Gift,1,NJ,Somerville,Multigender 1,Honor The Gift,Evolve Clothing Gallery,no,,
Horn Legend,1,PA,State College,Multigender 1,Horn Legend,Harpers,no,,
Hubbard Peanut Co,1,PA,Ligonier,In scope 1,Hubbard Peanut Co,Post & Rail Men's Shop,no,,
Hudson,1,PA,Pittsburgh,Multigender 1,Hudson,Larrimor's,no,,
Hugo Boss,1,PA,Phoenixville,In scope 1,Hugo Boss,Weitzenkorn's,no,,
Hula,1,PA,Philadelphia,Multigender 1,Hula,Totem Brand Co.,no,,
Hype and Vice,1,PA,State College,Multigender 1,Hype and Vice,Harpers,no,,
Il Bisonte,1,PA,Pittsburgh,Multigender 1,Il Bisonte,Larrimor's,no,,
Incienso de Santa Fe,1,PA,Philadelphia,Multigender 1,Incienso de Santa Fe,Totem Brand Co.,no,,
Indigo Falls,1,PA,State College,Multigender 1,Indigo Falls,Harpers,no,,
Indigofera,1,PA,Philadelphia,In scope 1,Indigofera,Franklin & Poe,no,,
Ink + Alloy,1,PA,Allentown,Multigender 1,Ink + Alloy,assembly88,no,,
Iro,1,PA,Pittsburgh,Multigender 1,Iro,Moda,no,,
Isa Boulder,1,PA,Pittsburgh,Multigender 1,Isa Boulder,TONS,no,,
Italo Ferretti,1,PA,Wayne,In scope 1,ITALO FERRETTI,Boyds,no,,
Izipizi,1,PA,Philadelphia,Multigender 1,Izipizi,Totem Brand Co.,no,,
JMNYC Designs,1,PA,Pittsburgh,Multigender 1,JMNYC Designs,Larrimor's,no,,
JZ Richards,1,PA,State College,Multigender 1,JZ Richards,Harpers,no,,
Jack Black,1,NJ,Far Hills,In scope 1,Jack Black,Hans Clothier,no,,
Jacob Cohen,1,PA,Wayne,In scope 1,JACOB COHEN,Boyds,no,,
Jane Motorcycles,1,NJ,Maplewood,In scope 1,Jane Motorcycles,City Workshop Men's Supply Co.,no,,
Janet Howard,1,PA,State College,Multigender 1,Janet Howard,Harpers,no,,
Jardine,1,PA,State College,Multigender 1,Jardine,Harpers,no,,
Jason Markk,1,NJ,Somerville,Multigender 1,Jason Markk,Evolve Clothing Gallery,no,,
Jax Kelly,1,PA,Wayne,Multigender 1,Jax Kelly,Out There Outfitters,no,,
Jetty,1,PA,Wayne,Multigender 1,Jetty,Out There Outfitters,no,,
Jill Martin,1,PA,State College,Multigender 1,Jill Martin,Harpers,no,,
John Elliott,1,NJ,Somerville,Multigender 1,John Elliott,Evolve Clothing Gallery,no,,
