shop,city,state,type
SOLSTICE,Block Island,RI,boutique
Canterbury,Cranston,RI,menswear specialist
Blueprint 5,East Greenwich,RI,menswear specialist
Coast To Country Outfitters,Newport,RI,boutique
Man Overboard,Newport,RI,boutique
Michael Hayes Co.,Newport,RI,menswear specialist
Sail Loft Clothing,Newport,RI,boutique
Marc Allen Fine Clothiers,Providence,RI,menswear specialist
MK Clothing,Burlington,VT,menswear specialist
WND&WVS,Burlington,VT,boutique
Miller's Country Store,Morristown,VT,boutique
McNeil & Reedy,Rutland,VT,menswear specialist
mysa,Shelburne,VT,boutique
Archery Close Men's,Stowe,VT,menswear specialist
Lenny's Shoe & Apparel,Williston,VT,multi-door chain
Woodstock Sports,Woodstock,VT,boutique
Louie,South Weymouth,MA,boutique
Puritan Cape Cod,Hyannis,MA,boutique
Puritan Cape Cod,Mashpee,MA,boutique
